objid,precision,recall
1,0.60253277326559,0.8602579115173675
2,0.9870844967253787,0.8526876179919566
3,0.9123357418504089,0.882981361046191
4,0.8622120854505639,0.8483187752534621
5,0.8171386417853561,0.730494543948335
6,0.9028008752735218,0.7069127725856711
7,0.87657479971833,0.3576497510819595
8,0.9693636363388584,0.8839750406053396
9,0.9707974038879491,0.8790497666568441
10,0.9895846971064768,0.8875291629480698
11,1.0,0.0004918577600533068
12,0.5513857212771526,0.34730041544709356
13,0.9789577126293343,0.919638446081507
14,0.9103507211659592,0.7627851373408845
15,0.8516660554088114,0.90004734533171
16,0.940155258348838,0.9018626788991192
17,0.9121456823165717,0.8531904801039403
18,0.9819894518158871,0.9112538819678518
19,0.8251430309577356,0.6308521750133682
20,0.962561233682843,0.9030701371558869
21,0.9933438905986807,0.8643830039073462
22,0.9144489622491628,0.765651545539561
23,0.8709078863817955,0.9999981742113847
24,0.9428747218323088,0.914166543224765
25,0.9401874316456403,0.3740450601466161
26,0.9609729882380019,0.5387332607364527
27,0.9500622133798661,0.752763337692569
28,0.9472917080551613,0.8159143927503896
29,0.9226157469349177,0.8213928234029073
30,0.8027627295995082,0.7882667507621309
31,0.6310186922919977,0.9377347734386778
32,0.98599182499869,0.9408397006710872
33,0.5648112895844499,0.9526600558650462
34,0.9594319917917478,0.8719156057490318
35,0.920176544421325,0.959909522134834
36,0.9800685424356621,0.8329098105237116
37,0.9639648978951123,0.7607314818179893
38,0.9832266905849478,0.8449748357515937
39,0.9576444055937386,0.8818184851225619
40,0.8086385790043101,0.3802007254912468
41,0.9914766883079477,0.16543601757457363
42,0.9530855565926826,0.8107509169817303
43,0.9021819437590872,0.7115272846336658
44,0.9491113300812397,0.5375150447761518
45,0.9950417888435056,0.21073722959107113
46,0.9785332989591083,0.46204344012570603
47,0.8039824450980452,0.8421530251202686
